"Année","Grande région","Domaine d'activité","Niveau de qualification","Homme","Femme"
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Comptabilité, gestion du personnel","Niveau 1+2",8929,6492
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Comptabilité, gestion du personnel","Niveau 3",6424,5444
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Comptabilité, gestion du personnel","Niveau 4",X,5098
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Secrétariat, travaux de chancellerie","Niveau 1+2",7770,5946
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Secrétariat, travaux de chancellerie","Niveau 3",5796,5564
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Secrétariat, travaux de chancellerie","Niveau 4",5370,4850
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Autres activités commerciales et administratives","Niveau 1+2",7546,5712
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Autres activités commerciales et administratives","Niveau 3",5919,5038
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Autres activités commerciales et administratives","Niveau 4",5619,4850
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Logistique, tâches d'état-major","Niveau 1+2",7827,6729
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Logistique, tâches d'état-major","Niveau 3",6276,5700
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Logistique, tâches d'état-major","Niveau 4",5225,3977
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Expertises, conseils, vente","Niveau 1+2",9113,6902
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Expertises, conseils, vente","Niveau 3",6888,5633
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Expertises, conseils, vente","Niveau 4",5674,4109
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Achat et vente de produits de base et d'équipement","Niveau 1+2",8139,6168
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Achat et vente de produits de base et d'équipement","Niveau 3",6500,5285
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Achat et vente de produits de base et d'équipement","Niveau 4",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Vente de biens de consommation, vente au détail","Niveau 1+2",6871,4385
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Vente de biens de consommation, vente au détail","Niveau 3",4996,3911
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Vente de biens de consommation, vente au détail","Niveau 4",4333,3752
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Recherche et développement","Niveau 1+2",9679,9528
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Recherche et développement","Niveau 3",7230,6682
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Recherche et développement","Niveau 4",6291,5855
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Analyse, programmation, 'operating'","Niveau 1+2",8890,7902
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Analyse, programmation, 'operating'","Niveau 3",6945,5864
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Analyse, programmation, 'operating'","Niveau 4",6701,4694
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Planifier, construire, réaliser, dessiner","Niveau 1+2",7658,6094
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Planifier, construire, réaliser, dessiner","Niveau 3",6090,4944
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Planifier, construire, réaliser, dessiner","Niveau 4",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Transp. de personnes et de marchandises, communications","Niveau 1+2",5339,5080
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Transp. de personnes et de marchandises, communications","Niveau 3",5255,4702
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Transp. de personnes et de marchandises, communications","Niveau 4",4544,3837
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Services de sécurité, de surveillance","Niveau 1+2",8239,5675
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Services de sécurité, de surveillance","Niveau 3",6854,5933
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Services de sécurité, de surveillance","Niveau 4",4920,4514
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités médicales, sociales et dans le domaine des soins","Niveau 1+2",6707,5933
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités médicales, sociales et dans le domaine des soins","Niveau 3",5256,5032
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités médicales, sociales et dans le domaine des soins","Niveau 4",4123,4290
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Soins corporels, nettoyage des vétements","Niveau 1+2",X,3778
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Soins corporels, nettoyage des vétements","Niveau 3",X,3313
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Soins corporels, nettoyage des vétements","Niveau 4",X,3476
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Nettoyage et hygiéne publique","Niveau 1+2",5244,4601
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Nettoyage et hygiéne publique","Niveau 3",4966,4006
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Nettoyage et hygiéne publique","Niveau 4",4066,3520
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités pédagogiques","Niveau 1+2",8140,7127
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités pédagogiques","Niveau 3",5958,5637
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités pédagogiques","Niveau 4",X,X
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 1+2",5365,4439
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 3",4063,3692
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Activités de l'hôtellerie-restauration, économie domestique","Niveau 4",3302,3690
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Culture, information, sport, loisirs et divertissements","Niveau 1+2",7276,5483
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Culture, information, sport, loisirs et divertissements","Niveau 3",5371,4717
"2002","Suisse du Nord-Ouest (BS, BL, AG)","Culture, information, sport, loisirs et divertissements","Niveau 4",4000,3852
"2002","Zurich (ZH)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 1+2",6512,5031
"2002","Zurich (ZH)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 3",5634,4582
"2002","Zurich (ZH)","ACTIVITES PROCHES DE LA PRODUCTION","Niveau 4",4894,3912
"2002","Zurich (ZH)","Fabrication et transformation de produits","Niveau 1+2",6229,5021
"2002","Zurich (ZH)","Fabrication et transformation de produits","Niveau 3",5590,4518
"2002","Zurich (ZH)","Fabrication et transformation de produits","Niveau 4",4821,3902
"2002","Zurich (ZH)","Activités de la construction","Niveau 1+2",6567,X
"2002","Zurich (ZH)","Activités de la construction","Niveau 3",5521,4661
"2002","Zurich (ZH)","Activités de la construction","Niveau 4",4867,3518
"2002","Zurich (ZH)","Mise en service, réglage et maintenance de machines","Niveau 1+2",6762,6352
"2002","Zurich (ZH)","Mise en service, réglage et maintenance de machines","Niveau 3",5907,5049
"2002","Zurich (ZH)","Mise en service, réglage et maintenance de machines","Niveau 4",5193,4185
"2002","Zurich (ZH)","Restauration, arts manuels","Niveau 1+2",X,X
"2002","Zurich (ZH)","Restauration, arts manuels","Niveau 3",X,4277
"2002","Zurich (ZH)","Restauration, arts manuels","Niveau 4",X,X
"2002","Zurich (ZH)","SERVICES","Niveau 1+2",9127,6825
"2002","Zurich (ZH)","SERVICES","Niveau 3",6041,5092
"2002","Zurich (ZH)","SERVICES","Niveau 4",4423,4006
"2002","Zurich (ZH)","Définition des buts et de la stratégie de l'entreprise","Niveau 1+2",12979,9599
"2002","Zurich (ZH)","Définition des buts et de la stratégie de l'entreprise","Niveau 3",6555,6239
"2002","Zurich (ZH)","Définition des buts et de la stratégie de l'entreprise","Niveau 4",5677,X
"2002","Zurich (ZH)","Comptabilité, gestion du personnel","Niveau 1+2",9699,7367
"2002","Zurich (ZH)","Comptabilité, gestion du personnel","Niveau 3",6825,6044
"2002","Zurich (ZH)","Comptabilité, gestion du personnel","Niveau 4",5358,5393
"2002","Zurich (ZH)","Secrétariat, travaux de chancellerie","Niveau 1+2",8334,6303
"2002","Zurich (ZH)","Secrétariat, travaux de chancellerie","Niveau 3",6144,5740
"2002","Zurich (ZH)","Secrétariat, travaux de chancellerie","Niveau 4",5198,5067
"2002","Zurich (ZH)","Autres activités commerciales et administratives","Niveau 1+2",8125,6327
"2002","Zurich (ZH)","Autres activités commerciales et administratives","Niveau 3",6130,5073
"2002","Zurich (ZH)","Autres activités commerciales et administratives","Niveau 4",5706,5159
"2002","Zurich (ZH)","Logistique, tâches d'état-major","Niveau 1+2",8966,8146
"2002","Zurich (ZH)","Logistique, tâches d'état-major","Niveau 3",6508,5873
"2002","Zurich (ZH)","Logistique, tâches d'état-major","Niveau 4",5418,4822
"2002","Zurich (ZH)","Expertises, conseils, vente","Niveau 1+2",9865,7738
