"Année","Grande région","Formation","Position professionnelle","Homme Médiane","Femme Médiane"
"2008","Suisse orientale (GL, SH, AR, AI, SG, GR, TG)","Autres formations complètes","Position professionnelle - Total",5243,4027
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",11688,8636
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",9500,7913
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",8048,6969
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Brevet d'enseignement","Position professionnelle - Total",7244,6283
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Maturité","Position professionnelle - Total",6551,5443
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Apprentissage complet (CFC)","Position professionnelle - Total",5750,4921
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Formation acquise en entreprise","Position professionnelle - Total",5633,4331
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Sans formation prof. complète","Position professionnelle - Total",4914,3971
"2008","Suisse centrale (LU, UR, SZ, OW, NW, ZG)","Autres formations complètes","Position professionnelle - Total",5020,4168
"2008","Tessin (TI)","Haute école universitaire (UNI, EPF)","Position professionnelle - Total",8920,6348
"2008","Tessin (TI)","Haute école spécialisée (HES), HEP","Position professionnelle - Total",7531,6382
"2008","Tessin (TI)","Formation prof. supérieure, écoles sup.","Position professionnelle - Total",6568,5529
"2008","Tessin (TI)","Brevet d'enseignement","Position professionnelle - Total",5354,4984
"2008","Tessin (TI)","Maturité","Position professionnelle - Total",5958,4977
"2008","Tessin (TI)","Apprentissage complet (CFC)","Position professionnelle - Total",5417,4641
"2008","Tessin (TI)","Formation acquise en entreprise","Position professionnelle - Total",4895,3526
"2008","Tessin (TI)","Sans formation prof. complète","Position professionnelle - Total",4356,3358
"2008","Tessin (TI)","Autres formations complètes","Position professionnelle - Total",5042,3842
